STN,YYYYMMDD,   TN,   TX,   RH
344,20170101,   -8,   26,   20
344,20170102,   -4,   67,   19
344,20170103,    8,   71,    5
344,20170104,    6,   77,   13
344,20170105,  -49,   42,    5
344,20170106,  -57,    5,    0
344,20170107,   01,   31,   26
344,20170108,   -9,   77,    0
344,20170109,   45,   67,   77
344,20170110,   35,   79,   22
344,20170111,   61,  102,    5
344,20170112,    3,   73,  179
344,20170113,    6,   65,  107
344,20170114,   -3,   50,   39
344,20170115,   02,   43,   16
344,20170116,  -36,   34,    0
344,20170117,  -53,   -2,    0
344,20170118,  -53,   02,    0
344,20170119,  -58,   28,    0
344,20170120,  -54,   45,    0
344,20170121,  -53,   42,    0
344,20170122,  -67,   49,    0
344,20170123,  -60,   38,    0
344,20170124,    8,   70,   25
344,20170125,  -38,   12,    0
344,20170126,  -56,   -6,    0
344,20170127,  -49,   75,    0
344,20170128,   44,   99,    0
344,20170129,   34,   61,   29
344,20170130,   31,   73,   61
344,20170131,   26,   52,    0
344,20170201,   13,   78,   10
344,20170202,   69,  132,   12
344,20170203,   69,  115,    2
344,20170204,   40,   71,   66
344,20170205,   19,   73,    0
344,20170206,   21,   71,    0
344,20170207,   17,   50,    9
344,20170208,   -6,   17,    0
344,20170209,   05,    0,    0
344,20170210,  -44,   01,    3
344,20170211,   06,    8,   36
344,20170212,   -8,   31,   10
344,20170213,   -8,   63,    0
344,20170214,    2,   97,    0
344,20170215,   -8,  136,    8
344,20170216,   46,   97,    0
344,20170217,   36,   86,    6
344,20170218,   32,   88,    0
344,20170219,   36,   91,    1
344,20170220,   74,  109,   41
344,20170221,   88,  115,    7
344,20170222,   84,  104,  185
344,20170223,   46,  106,   87
344,20170224,    4,   84,   10
344,20170225,    8,   90,    2
344,20170226,   73,  108,   22
344,20170227,   42,  105,   88
344,20170228,   19,   63,   70
344,20170301,   38,   89,   52
344,20170302,   49,   85,   56
344,20170303,   28,  101,    3
344,20170304,   65,  119,   18
344,20170305,   55,  102,   51
344,20170306,   13,  105,    5
344,20170307,   26,   97,    0
344,20170308,   22,  107,  157
344,20170309,   22,  136,    8
344,20170310,   -6,  114,    0
344,20170311,   25,  125,    0
344,20170312,   15,  150,    0
344,20170313,    3,  118,    0
344,20170314,   26,  130,    0
344,20170315,   37,  143,    0
344,20170316,   35,  160,    0
344,20170317,   71,   94,   54
344,20170318,   81,  131,   96
344,20170319,   99,  133,    3
344,20170320,   90,  113,   42
344,20170321,   47,   93,    0
344,20170322,   33,  125,    0
344,20170323,    4,  138,    0
344,20170324,   40,  136,    0
344,20170325,   16,  138,    0
344,20170326,   31,  129,    0
344,20170327,   16,  172,    0
344,20170328,   27,  188,    0
344,20170329,  100,  149,    1
344,20170330,  113,  214,    0
344,20170331,   80,  200,    0
344,20170401,   67,  135,    5
344,20170402,   49,  155,    0
344,20170403,   58,  143,    0
344,20170404,   48,  151,    0
344,20170405,   38,  123,    0
344,20170406,   33,  110,    0
344,20170407,   72,  142,    0
344,20170408,   45,  155,    0
344,20170409,   30,  210,    0
344,20170410,   39,  144,    0
344,20170411,   32,  133,    0
344,20170412,   85,  116,    4
344,20170413,   36,  124,    0
344,20170414,   41,  126,    3
344,20170415,   44,  123,   31
344,20170416,   66,  113,    2
344,20170417,   22,  108,   86
344,20170418,   12,  111,   54
344,20170419,   02,   90,    0
344,20170420,  -24,  119,    0
344,20170421,   79,  141,    1
344,20170422,   40,  114,   14
344,20170423,   25,  112,    1
344,20170424,   65,  131,   41
344,20170425,   36,   98,   26
344,20170426,   12,  111,   24
344,20170427,    5,  105,    5
344,20170428,   27,  119,   29
344,20170429,   12,  137,    0
344,20170430,   54,  189,    0
344,20170501,   91,  137,    0
344,20170502,   72,  137,   99
344,20170503,   77,  140,   55
344,20170504,   89,  145,    0
344,20170505,   69,  126,    0
344,20170506,   55,  185,    0
344,20170507,   82,  137,    1
344,20170508,   35,  157,    0
344,20170509,   11,  141,    0
344,20170510,   11,  156,    0
344,20170511,   44,  234,    0
344,20170512,  113,  208,  107
344,20170513,   83,  181,   21
344,20170514,   85,  195,    0
344,20170515,   70,  212,    1
344,20170516,  171,  266,    0
344,20170517,  156,  298,    0
344,20170518,  131,  189,   34
344,20170519,   90,  172,    5
344,20170520,   88,  175,    1
344,20170521,   83,  203,    0
344,20170522,   79,  248,    0
344,20170523,  113,  195,    0
344,20170524,  105,  213,    0
344,20170525,   82,  239,    0
344,20170526,  130,  263,    0
344,20170527,  157,  313,    0
344,20170528,  145,  240,    0
344,20170529,  155,  269,    0
344,20170530,  154,  197,    0
344,20170531,   94,  219,    0
344,20170601,   75,  234,    0
344,20170602,  120,  261,    0
344,20170603,  134,  222,   32
344,20170604,  112,  187,    0
344,20170605,  113,  226,    0
344,20170606,  115,  190,   87
344,20170607,  117,  178,   38
344,20170608,  122,  235,   14
344,20170609,  138,  194,  106
344,20170610,  123,  248,    0
344,20170611,  147,  278,    0
344,20170612,  144,  192,    0
344,20170613,  108,  207,    0
344,20170614,   95,  245,    0
344,20170615,  153,  254,    0
344,20170616,  120,  192,    0
344,20170617,  138,  233,    0
344,20170618,  128,  279,    0
344,20170619,  155,  302,    0
344,20170620,  159,  284,    0
344,20170621,  137,  293,    0
344,20170622,  162,  292,   22
344,20170623,  149,  234,    0
344,20170624,  164,  191,   13
344,20170625,  162,  194,   24
344,20170626,  120,  199,    0
344,20170627,  115,  230,   22
344,20170628,  148,  221,   50
344,20170629,  129,  209,    0
344,20170630,  120,  209,   41
344,20170701,  128,  188,   79
344,20170702,  108,  194,    0
344,20170703,   94,  221,    3
344,20170704,  143,  240,    0
344,20170705,  127,  247,    0
344,20170706,  114,  263,   52
344,20170707,  153,  245,    0
344,20170708,  118,  245,    0
344,20170709,  103,  241,    0
344,20170710,  150,  267,    0
344,20170711,  151,  212,   96
344,20170712,   99,  188,  363
344,20170713,   79,  202,    0
344,20170714,   85,  195,   34
344,20170715,  114,  219,    7
344,20170716,  161,  218,   18
344,20170717,  139,  233,    0
344,20170718,  126,  263,    0
344,20170719,  183,  294,   46
344,20170720,  147,  255,   19
344,20170721,  139,  233,    0
344,20170722,  143,  240,   11
344,20170723,  132,  202,   72
344,20170724,  127,  199,   89
344,20170725,  119,  204,  121
344,20170726,  126,  236,   29
344,20170727,  161,  212,    0
344,20170728,  151,  206,   31
344,20170729,  169,  214,  313
344,20170730,  147,  217,   25
344,20170731,  142,  224,    0
344,20170801,  120,  235,    0
344,20170802,  158,  221,   30
344,20170803,  169,  221,   15
344,20170804,  157,  213,    8
344,20170805,  108,  202,   38
344,20170806,  104,  209,    0
344,20170807,  110,  212,    0
344,20170808,  129,  182,  102
344,20170809,  137,  215,    0
344,20170810,  107,  199,   19
344,20170811,  119,  209,    6
344,20170812,  129,  211,   44
344,20170813,   95,  216,    0
344,20170814,  110,  252,    0
344,20170815,  144,  215,   56
344,20170816,  128,  228,    0
344,20170817,  129,  211,   27
344,20170818,  119,  206,    2
344,20170819,  132,  192,   83
344,20170820,  130,  190,    1
344,20170821,  127,  215,    0
344,20170822,  122,  239,    0
344,20170823,  150,  261,    0
344,20170824,  134,  210,    0
344,20170825,  128,  234,    0
344,20170826,  109,  245,    0
344,20170827,  116,  249,    0
344,20170828,  123,  259,    0
344,20170829,  142,  283,    5
344,20170830,  136,  216,344
344,20170831,  112,  193,   82
344,20170901,   85,  182,   43
344,20170902,   80,  195,    0
344,20170903,   67,  200,    0
344,20170904,  101,  203,    0
344,20170905,  170,  222,   15
344,20170906,  129,  186,   46
344,20170907,  115,  187,    8
344,20170908,  141,  164,  429
344,20170909,  103,  182,  261
344,20170910,  112,  179,    7
344,20170911,  119,  167,  174
344,20170912,  130,  176,   12
344,20170913,  104,  173,  133
344,20170914,   88,  144,  226
344,20170915,   95,  162,  176
344,20170916,   85,  134,  107
344,20170917,   62,  168,   22
344,20170918,   79,  165,   22
344,20170919,   78,  182,    0
344,20170920,  109,  183,    3
344,20170921,  109,  190,    0
344,20170922,   74,  195,    2
344,20170923,   66,  189,    0
344,20170924,   50,  205,    0
344,20170925,   90,  180,    0
344,20170926,   85,  178,    0
344,20170927,   60,  208,    0
344,20170928,  133,  200,   21
344,20170929,  130,  236,  138
344,20170930,   93,  164,    7
344,20171001,  116,  168,    0
344,20171002,  135,  178,    8
344,20171003,  123,  163,    5
344,20171004,  116,  150,   22
344,20171005,  111,  164,  184
344,20171006,   91,  152,   53
344,20171007,   97,  152,  122
344,20171008,  112,  163,   12
344,20171009,   93,  149,   42
344,20171010,   98,  158,    9
344,20171011,  142,  162,   50
344,20171012,  116,  161,    0
344,20171013,  112,  186,    0
344,20171014,  101,  198,    0
344,20171015,   91,  225,    0
344,20171016,  155,  246,    0
344,20171017,   93,  160,    0
344,20171018,  102,  179,    0
344,20171019,  113,  209,    6
344,20171020,  116,  170,   72
344,20171021,  112,  173,   25
344,20171022,  100,  130,  168
344,20171023,  111,  159,   17
344,20171024,  136,  167,    7
344,20171025,  101,  172,    0
344,20171026,  114,  172,    0
344,20171027,   90,  150,   19
344,20171028,  105,  152,    0
344,20171029,   53,  151,   13
344,20171030,   45,  118,    8
344,20171031,   68,  125,    0
344,20171101,  103,  134,    0
344,20171102,   63,  137,    4
344,20171103,   89,  135,    0
344,20171104,   88,  134,   17
344,20171105,   31,  112,   52
344,20171106,    5,  111,   14
344,20171107,   -5,   98,    0
344,20171108,    8,   81,    1
344,20171109,   66,  117,    5
344,20171110,   74,  127,    9
344,20171111,   45,  111,   13
344,20171112,   44,   77,  137
344,20171113,   19,  108,   33
344,20171114,   39,   96,   15
344,20171115,   89,  109,   17
344,20171116,   40,  115,   15
344,20171117,   16,  110,    0
344,20171118,   50,  104,    9
344,20171119,   48,  104,   15
344,20171120,   52,  125,   83
344,20171121,  112,  127,   21
344,20171122,  107,  128,    5
344,20171123,   86,  142,   30
344,20171124,   37,   92,   43
344,20171125,   10,   76,   10
344,20171126,   42,   81,    8
344,20171127,   55,  101,  189
344,20171128,    9,   84,   29
344,20171129,    0,   77,   37
344,20171130,   02,   57,  135
344,20171201,  -40,   39,    0
344,20171202,  -44,   12,    0
344,20171203,   12,   71,   26
344,20171204,   26,  105,    2
344,20171205,   65,   93,    0
344,20171206,   68,   93,    0
344,20171207,   41,   76,   75
344,20171208,    7,   64,  119
344,20171209,    9,   48,   73
344,20171210,    0,   48,  187
344,20171211,   -8,   18,   80
344,20171212,    0,   30,   22
344,20171213,   21,   74,  156
344,20171214,   12,   66,   89
344,20171215,   -5,   45,   20
344,20171216,    3,   74,   40
344,20171217,   01,   60,   58
344,20171218,    3,   85,    9
344,20171219,    1,   76,    0
344,20171220,   64,   91,    1
344,20171221,   77,  100,    9
344,20171222,   85,   98,   17
344,20171223,   81,   93,    0
344,20171224,   72,   96,    3
344,20171225,   49,   92,    6
344,20171226,   51,   76,   14
344,20171227,   39,   73,   59
344,20171228,   22,   55,   12
344,20171229,    5,   73,   99
344,20171230,   47,  117,   59
344,20171231,   85,  130,  253
344,20180101,   54,   86,   19
344,20180102,   57,   93,   64
344,20180103,   56,  111,   89
344,20180104,   72,  107,   10
344,20180105,   52,   84,   60
344,20180106,   26,   72,    0
344,20180107,   00,   30,    0
344,20180108,   -5,   35,    0
344,20180109,   -3,   60,    0
344,20180110,   46,   77,   12
344,20180111,    2,   71,    0
344,20180112,   40,   66,    0
344,20180113,    7,   64,    0
344,20180114,   18,   55,    0
344,20180115,   29,   84,  140
344,20180116,   32,   73,   32
344,20180117,   28,   65,   13
344,20180118,   14,  100,  115
344,20180119,   19,   69,   13
